region,district,date,Market,source,commodity,Price,market_day,Year,month,week,Type
Upper East,Bolgatanga Municipal,10-08-2025,Bolga,retail,Maize Yellow,5.286666667,2025-08-10,2025,8,2,retail
Upper East,Bolgatanga Municipal,10-08-2025,Bolga,retail,Rice Local perfumed,11.42666667,2025-08-10,2025,8,2,retail
Upper East,Bolgatanga Municipal,10-08-2025,Bolga,retail,Rice Local non perfumed,9.57,2025-08-10,2025,8,2,retail
Upper East,Bolgatanga Municipal,10-08-2025,Bolga,retail,Groundnut Red,16.1,2025-08-10,2025,8,2,retail
Bono East,Techiman Municipal,06-08-2025,,retail,white maize,7.533333333,2025-08-06,2025,8,1,retail
Bono East,Techiman Municipal,06-08-2025,,retail,Maize Yellow,7.32,2025-08-06,2025,8,1,retail
Bono East,Techiman Municipal,06-08-2025,,retail,Rice Local perfumed,11.89,2025-08-06,2025,8,1,retail
Bono East,Techiman Municipal,06-08-2025,,retail,Rice Local non perfumed,10.96333333,2025-08-06,2025,8,1,retail
Bono East,Techiman Municipal,06-08-2025,,retail,Groundnut Red,21.16,2025-08-06,2025,8,1,retail
Bono East,Techiman Municipal,06-08-2025,,retail,Soya Bean,9.623333333,2025-08-06,2025,8,1,retail
Bono East,Techiman Municipal,06-08-2025,,retail,Unshelled Groundnut,13.09666667,2025-08-06,2025,8,1,retail
Bono East,Kintampo North Municipal,13-08-2025,Kintampo ,retail,white maize,7.77,2025-08-13,2025,8,2,retail
Bono East,Kintampo North Municipal,13-08-2025,Kintampo ,retail,Maize Yellow,7.57,2025-08-13,2025,8,2,retail
Bono East,Kintampo North Municipal,13-08-2025,Kintampo ,retail,Rice Local perfumed,10.4,2025-08-13,2025,8,2,retail
Bono East,Kintampo North Municipal,13-08-2025,Kintampo ,retail,Groundnut Red,15.04666667,2025-08-13,2025,8,2,retail
Bono East,Techiman Municipal,30-07-2025,Techiman,retail,white maize,7.533333333,2025-07-30,2025,7,5,retail
Bono East,Techiman Municipal,30-07-2025,Techiman,retail,Maize Yellow,7.81,2025-07-30,2025,7,5,retail
Bono East,Techiman Municipal,30-07-2025,Techiman,retail,Rice Local perfumed,11.89,2025-07-30,2025,7,5,retail
Bono East,Techiman Municipal,30-07-2025,Techiman,retail,Rice Local non perfumed,11.09666667,2025-07-30,2025,7,5,retail
Bono East,Techiman Municipal,30-07-2025,Techiman,retail,Groundnut Red,21.32666667,2025-07-30,2025,7,5,retail
Bono East,Techiman Municipal,30-07-2025,Techiman,retail,Soya Bean,9.38,2025-07-30,2025,7,5,retail
Bono East,Techiman Municipal,30-07-2025,Techiman,retail,Unshelled Groundnut,11.57333333,2025-07-30,2025,7,5,retail
Eastern,New Juaben South Municipal,14-08-2025,Central market ,retail,Maize Yellow,6.67,2025-08-14,2025,8,2,retail
Ashanti,Obuasi Municipal,07-08-2025,Obuasi Central Market,retail,Groundnut Red,23.1,2025-08-07,2025,8,1,retail
Ashanti,Obuasi Municipal,07-08-2025,Obuasi Central Market,retail,Rice Local perfumed,16.86,2025-08-07,2025,8,1,retail
Ashanti,Obuasi Municipal,07-08-2025,Obuasi Central Market,retail,Maize Yellow,11.69333333,2025-08-07,2025,8,1,retail
Ashanti,Obuasi Municipal,07-08-2025,Obuasi Central Market,retail,white maize,10.14,2025-08-07,2025,8,1,retail
Ashanti,Obuasi Municipal,10-08-2025,Obuasi Central Market,retail,Soya Bean,16.44666667,2025-08-10,2025,8,2,retail
Bono,Sunyani Municipal,13-08-2025,Nana Bosomah,retail,white maize,5.56,2025-08-13,2025,8,2,retail
Bono,Sunyani Municipal,13-08-2025,Nana Bosomah,retail,Maize Yellow,5.56,2025-08-13,2025,8,2,retail
Bono,Sunyani Municipal,13-08-2025,Nana Bosomah,retail,Rice Local perfumed,14.81,2025-08-13,2025,8,2,retail
Bono,Sunyani Municipal,13-08-2025,Nana Bosomah,retail,Rice Local non perfumed,14.07,2025-08-13,2025,8,2,retail
Bono,Sunyani Municipal,13-08-2025,Nana Bosomah,retail,Groundnut Red,20.0,2025-08-13,2025,8,2,retail
Bono,Sunyani Municipal,13-08-2025,Nana Bosomah,retail,Soya Bean,12.5,2025-08-13,2025,8,2,retail
Bono,Sunyani Municipal,13-08-2025,Nana Bosomah,retail,Unshelled Groundnut,9.696666667,2025-08-13,2025,8,2,retail
Central,Mfantsiman Municipal,13-08-2025,Mankessim,retail,white maize,6.646666667,2025-08-13,2025,8,2,retail
Central,Mfantsiman Municipal,13-08-2025,Mankessim,retail,Maize Yellow,7.964,2025-08-13,2025,8,2,retail
Central,Mfantsiman Municipal,13-08-2025,Mankessim,retail,Rice Local perfumed,22.42333333,2025-08-13,2025,8,2,retail
Central,Mfantsiman Municipal,13-08-2025,Mankessim,retail,Rice Local non perfumed,15.2,2025-08-13,2025,8,2,retail
Central,Mfantsiman Municipal,13-08-2025,Mankessim,retail,Groundnut Red,28.04333333,2025-08-13,2025,8,2,retail
Central,Mfantsiman Municipal,13-08-2025,Mankessim,retail,Soya Bean,19.53,2025-08-13,2025,8,2,retail
Oti,Nkwanta South Municipal,05-08-2025,NKWANTA,retail,white maize,7.75,2025-08-05,2025,8,1,retail
Oti,Nkwanta South Municipal,05-08-2025,NKWANTA,retail,Maize Yellow,8.563333333,2025-08-05,2025,8,1,retail
Oti,Nkwanta South Municipal,05-08-2025,NKWANTA,retail,Rice Local perfumed,13.33,2025-08-05,2025,8,1,retail
Oti,Nkwanta South Municipal,05-08-2025,NKWANTA,retail,Rice Local non perfumed,10.71,2025-08-05,2025,8,1,retail
Oti,Nkwanta South Municipal,05-08-2025,NKWANTA,retail,Soya Bean,9.26,2025-08-05,2025,8,1,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,14-08-2025,BIBIANI ,retail,white maize,10.46333333,2025-08-14,2025,8,2,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,14-08-2025,BIBIANI ,retail,Maize Yellow,12.02666667,2025-08-14,2025,8,2,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,14-08-2025,BIBIANI ,retail,Rice Local perfumed,10.37,2025-08-14,2025,8,2,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,14-08-2025,BIBIANI ,retail,Rice Local non perfumed,8.103333333,2025-08-14,2025,8,2,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,14-08-2025,BIBIANI ,retail,Groundnut Red,24.66666667,2025-08-14,2025,8,2,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,14-08-2025,BIBIANI ,retail,Soya Bean,10.83333333,2025-08-14,2025,8,2,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,14-08-2025,BIBIANI ,retail,Unshelled Groundnut,9.956666667,2025-08-14,2025,8,2,retail
Ahafo,Asunafo North Municipal,14-08-2025,Goaso,retail,white maize,7.073333333,2025-08-14,2025,8,2,retail
Ahafo,Asunafo North Municipal,14-08-2025,Goaso,retail,Maize Yellow,8.163333333,2025-08-14,2025,8,2,retail
Ahafo,Asunafo North Municipal,14-08-2025,Goaso,retail,Rice Local perfumed,16.85,2025-08-14,2025,8,2,retail
Oti,Nkwanta South Municipal,14-08-2025,NKWANTA,retail,white maize,8.053333333,2025-08-14,2025,8,2,retail
Oti,Nkwanta South Municipal,14-08-2025,NKWANTA,retail,Maize Yellow,7.946666667,2025-08-14,2025,8,2,retail
Oti,Nkwanta South Municipal,14-08-2025,NKWANTA,retail,Rice Local perfumed,13.55333333,2025-08-14,2025,8,2,retail
Oti,Nkwanta South Municipal,14-08-2025,NKWANTA,retail,Rice Local non perfumed,10.60666667,2025-08-14,2025,8,2,retail
Oti,Nkwanta South Municipal,14-08-2025,NKWANTA,retail,Soya Bean,9.62,2025-08-14,2025,8,2,retail
Upper East,Bolgatanga Municipal,16-08-2025,Bolga,retail,white maize,8.446666667,2025-08-16,2025,8,3,retail
Upper East,Bolgatanga Municipal,16-08-2025,Bolga,retail,Maize Yellow,8.446666667,2025-08-16,2025,8,3,retail
Upper East,Bolgatanga Municipal,16-08-2025,Bolga,retail,Groundnut Red,16.66666667,2025-08-16,2025,8,3,retail
Upper East,Bolgatanga Municipal,16-08-2025,Bolga,retail,Soya Bean,8.62,2025-08-16,2025,8,3,retail
Savannah,Bole,16-07-2025,Bamboi market,retail,white maize,8.0,2025-07-16,2025,7,3,retail
Savannah,Bole,16-07-2025,Bamboi market,retail,Maize Yellow,8.0,2025-07-16,2025,7,3,retail
Savannah,Bole,16-07-2025,Bamboi market,retail,Rice Local non perfumed,16.67,2025-07-16,2025,7,3,retail
Savannah,Bole,16-07-2025,Bamboi market,retail,Groundnut Red,18.75,2025-07-16,2025,7,3,retail
Savannah,Bole,16-07-2025,Bamboi market,retail,Soya Bean,12.135,2025-07-16,2025,7,3,retail
Upper West,Wa Municipal,17-08-2025,Wa  Market ,retail,white maize,7.14,2025-08-17,2025,8,3,retail
